prob.cluster1	prob.cluster2	prob.cluster3	prob.cluster4	prob.cluster5	prob.cluster6	prob.cluster7	prob.cluster8	prob.cluster9	prob.cluster10	prob.cluster11	prob.cluster12	prob.cluster13	prob.cluster14	prob.cluster15	prob.cluster16	most.likely.cluster
0	0	0.002	0.077	0.921	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.006	0.994	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.025	0.974	0	0	0	0	0	0	0	0	0	0	0	5
0	0.826	0.136	0.038	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.029	0.391	0.58	0	0	0	0	0	0	0	0	0	0	0	5
0	0.019	0.369	0.61	0.002	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.044	0.446	0.51	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.007	0.194	0.799	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.003	0.997	0	0	0	0	0	0	0	0	0	0	0	5
0	0.565	0.333	0.102	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.015	0.262	0.723	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.023	0.977	0	0	0	0	0	0	0	0	0	0	0	5
0	0.003	0.181	0.717	0.099	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.02	0.98	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.029	0.97	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.006	0.994	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.021	0.979	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.039	0.29	0.671	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.013	0.987	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.03	0.969	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.026	0.974	0	0	0	0	0	0	0	0	0	0	0	5
0	0.748	0.199	0.053	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.001	0.026	0.973	0	0	0	0	0	0	0	0	0	0	0	5
0.026	0.969	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.75	0.167	0.083	0	0	0	0	0	0	0	0	0	0	0	0	2
0.001	0.881	0.091	0.027	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.154	0.74	0.106	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.056	0.713	0.231	0	0	0	0	0	0	0	0	0	0	0	4
0	0.001	0.297	0.699	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.001	0.047	0.952	0	0	0	0	0	0	0	0	0	0	0	5
0	0.005	0.215	0.664	0.116	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.024	0.308	0.668	0	0	0	0	0	0	0	0	0	0	0	5
0	0.039	0.403	0.557	0.001	0	0	0	0	0	0	0	0	0	0	0	4
0	0.637	0.214	0.149	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.011	0.249	0.74	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.06	0.939	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.119	0.831	0.05	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.015	0.985	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.009	0.99	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.019	0.981	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.143	0.708	0.149	0	0	0	0	0	0	0	0	0	0	0	4
0	0.079	0.423	0.495	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0.047	0.415	0.537	0.001	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.032	0.968	0	0	0	0	0	0	0	0	0	0	0	5
0	0.006	0.3	0.692	0.002	0	0	0	0	0	0	0	0	0	0	0	4
0	0.095	0.493	0.412	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0.003	0.091	0.906	0	0	0	0	0	0	0	0	0	0	0	5
0	0.738	0.219	0.043	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.007	0.256	0.727	0.01	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.005	0.168	0.827	0	0	0	0	0	0	0	0	0	0	0	5
0	0.003	0.165	0.547	0.285	0	0	0	0	0	0	0	0	0	0	0	4
0	0.001	0.184	0.755	0.06	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.196	0.734	0.07	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.008	0.205	0.787	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.006	0.132	0.862	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.018	0.982	0	0	0	0	0	0	0	0	0	0	0	5
0	0.018	0.389	0.592	0.001	0	0	0	0	0	0	0	0	0	0	0	4
0	0.387	0.382	0.231	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.015	0.985	0	0	0	0	0	0	0	0	0	0	0	5
0	0.001	0.132	0.737	0.13	0	0	0	0	0	0	0	0	0	0	0	4
0.002	0.939	0.054	0.005	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.083	0.917	0	0	0	0	0	0	0	0	0	0	0	5
0	0.08	0.47	0.45	0	0	0	0	0	0	0	0	0	0	0	0	3
0.001	0.852	0.126	0.021	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.016	0.232	0.752	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.079	0.612	0.309	0	0	0	0	0	0	0	0	0	0	0	4
0.036	0.948	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.001	0.069	0.396	0.534	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.025	0.974	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.119	0.752	0.129	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.02	0.98	0	0	0	0	0	0	0	0	0	0	0	5
0	0.034	0.317	0.615	0.034	0	0	0	0	0	0	0	0	0	0	0	4
0	0.027	0.377	0.587	0.009	0	0	0	0	0	0	0	0	0	0	0	4
0	0.113	0.447	0.439	0.001	0	0	0	0	0	0	0	0	0	0	0	3
0	0.001	0.267	0.727	0.005	0	0	0	0	0	0	0	0	0	0	0	4
0	0.785	0.174	0.041	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.002	0.059	0.939	0	0	0	0	0	0	0	0	0	0	0	5
0.001	0.889	0.086	0.024	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.009	0.991	0	0	0	0	0	0	0	0	0	0	0	5
0	0.689	0.22	0.091	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.664	0.242	0.094	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.003	0.248	0.715	0.034	0	0	0	0	0	0	0	0	0	0	0	4
0	0.187	0.474	0.338	0.001	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.004	0.996	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.059	0.688	0.253	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.012	0.988	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.009	0.991	0	0	0	0	0	0	0	0	0	0	0	5
0	0.001	0.14	0.654	0.205	0	0	0	0	0	0	0	0	0	0	0	4
0	0.001	0.193	0.76	0.046	0	0	0	0	0	0	0	0	0	0	0	4
0.002	0.273	0.316	0.396	0.013	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.015	0.195	0.79	0	0	0	0	0	0	0	0	0	0	0	5
0	0.008	0.223	0.695	0.074	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.001	0.063	0.936	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0.015	0.377	0.606	0.002	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.037	0.551	0.412	0	0	0	0	0	0	0	0	0	0	0	4
0	0.01	0.34	0.642	0.008	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.003	0.051	0.946	0	0	0	0	0	0	0	0	0	0	0	5
0	0.533	0.359	0.108	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.026	0.974	0	0	0	0	0	0	0	0	0	0	0	5
0	0.022	0.325	0.645	0.008	0	0	0	0	0	0	0	0	0	0	0	4
0	0.114	0.245	0.515	0.126	0	0	0	0	0	0	0	0	0	0	0	4
0	0.006	0.326	0.667	0.001	0	0	0	0	0	0	0	0	0	0	0	4
0	0.023	0.379	0.59	0.008	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.073	0.504	0.423	0	0	0	0	0	0	0	0	0	0	0	4
0	0.009	0.4	0.591	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0.001	0.195	0.785	0.019	0	0	0	0	0	0	0	0	0	0	0	4
0	0.241	0.478	0.281	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0.804	0.138	0.058	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0.499	0.378	0.123	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.011	0.194	0.795	0	0	0	0	0	0	0	0	0	0	0	5
0	0.008	0.364	0.624	0.004	0	0	0	0	0	0	0	0	0	0	0	4
0	0.393	0.427	0.18	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0.874	0.115	0.011	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.116	0.797	0.087	0	0	0	0	0	0	0	0	0	0	0	4
0	0.005	0.202	0.736	0.057	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.022	0.978	0	0	0	0	0	0	0	0	0	0	0	5
0	0.877	0.106	0.017	0	0	0	0	0	0	0	0	0	0	0	0	2
0.007	0.984	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.002	0.958	0.036	0.004	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.013	0.369	0.618	0	0	0	0	0	0	0	0	0	0	0	5
0	0.034	0.387	0.576	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0.042	0.419	0.538	0.001	0	0	0	0	0	0	0	0	0	0	0	4
0	0.719	0.224	0.057	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.009	0.204	0.787	0	0	0	0	0	0	0	0	0	0	0	5
0.001	0.972	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.06	0.552	0.388	0	0	0	0	0	0	0	0	0	0	0	4
0	0.004	0.141	0.679	0.176	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.006	0.994	0	0	0	0	0	0	0	0	0	0	0	5
0	0.01	0.306	0.655	0.029	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.094	0.906	0	0	0	0	0	0	0	0	0	0	0	5
0	0.429	0.368	0.203	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.003	0.191	0.806	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.059	0.604	0.337	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.052	0.573	0.375	0	0	0	0	0	0	0	0	0	0	0	4
0	0.546	0.359	0.095	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.003	0.997	0	0	0	0	0	0	0	0	0	0	0	5
0	0.079	0.406	0.513	0.002	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.113	0.661	0.226	0	0	0	0	0	0	0	0	0	0	0	4
0	0.122	0.44	0.434	0.004	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0.066	0.505	0.429	0	0	0	0	0	0	0	0	0	0	0	4
0	0.011	0.279	0.689	0.021	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.004	0.996	0	0	0	0	0	0	0	0	0	0	0	5
0	0.004	0.284	0.694	0.018	0	0	0	0	0	0	0	0	0	0	0	4
0	0.001	0.234	0.759	0.006	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.078	0.922	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.045	0.955	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.025	0.975	0	0	0	0	0	0	0	0	0	0	0	5
0	0.02	0.433	0.542	0.005	0	0	0	0	0	0	0	0	0	0	0	4
0.003	0.921	0.062	0.014	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.156	0.794	0.05	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.034	0.966	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.003	0.047	0.95	0	0	0	0	0	0	0	0	0	0	0	5
0	0.888	0.091	0.021	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.095	0.585	0.32	0	0	0	0	0	0	0	0	0	0	0	4
0	0.003	0.201	0.75	0.046	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0.129	0.425	0.443	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0.038	0.361	0.598	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.001	0.069	0.93	0	0	0	0	0	0	0	0	0	0	0	5
0.009	0.978	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.002	0.065	0.933	0	0	0	0	0	0	0	0	0	0	0	5
0	0.448	0.44	0.112	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.013	0.987	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.003	0.997	0	0	0	0	0	0	0	0	0	0	0	5
0	0.367	0.427	0.206	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.041	0.959	0	0	0	0	0	0	0	0	0	0	0	5
0	0.532	0.362	0.106	0	0	0	0	0	0	0	0	0	0	0	0	2
0.001	0.909	0.069	0.021	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.025	0.975	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.081	0.919	0	0	0	0	0	0	0	0	0	0	0	5
0	0.008	0.238	0.687	0.067	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.002	0.119	0.879	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.01	0.99	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.068	0.932	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.031	0.381	0.588	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.002	0.997	0	0	0	0.001	0	0	0	0	0	0	0	5
0	0	0	0.001	0.998	0.001	0	0	0	0	0	0	0	0	0	0	5
0	0	0.028	0.339	0.633	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.127	0.702	0.171	0	0	0	0	0	0	0	0	0	0	0	4
0	0.642	0.277	0.081	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.003	0.05	0.947	0	0	0	0	0	0	0	0	0	0	0	5
0	0.015	0.263	0.683	0.039	0	0	0	0	0	0	0	0	0	0	0	4
0.001	0.902	0.079	0.018	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.004	0.119	0.877	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.035	0.965	0	0	0	0	0	0	0	0	0	0	0	5
0	0.806	0.138	0.056	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.167	0.817	0.016	0	0	0	0	0	0	0	0	0	0	0	4
0	0.02	0.339	0.626	0.015	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.005	0.143	0.852	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.01	0.224	0.766	0	0	0	0	0	0	0	0	0	0	0	5
0	0.003	0.264	0.722	0.011	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.002	0.058	0.94	0	0	0	0	0	0	0	0	0	0	0	5
0	0.348	0.365	0.286	0.001	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0.722	0.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.082	0.551	0.367	0	0	0	0	0	0	0	0	0	0	0	0	3
0.091	0.905	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.003	0.771	0.157	0.069	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.026	0.974	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0.001	0.081	0.918	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.033	0.967	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0.002	0.998	0	0	0	0	0	0	0	0	0	0	0	5
0	0.04	0.344	0.6	0.016	0	0	0	0	0	0	0	0	0	0	0	4
0	0	0.01	0.189	0.801	0	0	0	0	0	0	0	0	0	0	0	5
0	0.003	0.111	0.662	0.224	0	0	0	0	0	0	0	0	0	0	0	4
0	0.05	0.38	0.566	0.004	0	0	0	0	0	0	0	0	0	0	0	4
0	0.087	0.434	0.476	0.003	0	0	0	0	0	0	0	0	0	0	0	4
0	0.075	0.46	0.463	0.002	0	0	0	0	0	0	0	0	0	0	0	4
0	0.436	0.344	0.22	0	0	0	0	0	0	0	0	0	0	0	0	2
