prob.cluster1	prob.cluster2	prob.cluster3	prob.cluster4	prob.cluster5	prob.cluster6	prob.cluster7	prob.cluster8	prob.cluster9	prob.cluster10	prob.cluster11	prob.cluster12	prob.cluster13	prob.cluster14	most.likely.cluster
0	0	0	0.058	0.063	0.021	0.858	0	0	0	0	0	0	0	7
0	0	0	0.003	0.021	0.008	0.968	0	0	0	0	0	0	0	7
0	0	0	0.01	0.035	0.014	0.941	0	0	0	0	0	0	0	7
0.001	0.665	0.289	0.045	0	0	0	0	0	0	0	0	0	0	2
0	0	0.001	0.331	0.114	0.02	0.534	0	0	0	0	0	0	0	7
0	0.009	0.279	0.707	0.004	0	0.001	0	0	0	0	0	0	0	4
0	0	0.012	0.426	0.109	0.016	0.437	0	0	0	0	0	0	0	7
0	0	0.001	0.162	0.1	0.034	0.703	0	0	0	0	0	0	0	7
0	0	0	0	0.002	0.003	0.994	0	0.001	0	0	0	0	0	7
0	0	0	0	0.004	0.001	0.995	0	0	0	0	0	0	0	7
0	0.324	0.526	0.15	0	0	0	0	0	0	0	0	0	0	3
0	0	0.008	0.243	0.092	0.023	0.634	0	0	0	0	0	0	0	7
0	0	0	0.006	0.023	0.011	0.96	0	0	0	0	0	0	0	7
0	0.001	0.089	0.778	0.051	0.01	0.071	0	0	0	0	0	0	0	4
0	0	0	0.004	0.027	0.012	0.957	0	0	0	0	0	0	0	7
0	0	0	0.008	0.03	0.01	0.952	0	0	0	0	0	0	0	7
0	0	0	0	0.005	0.006	0.989	0	0	0	0	0	0	0	7
0	0	0	0.003	0.05	0.016	0.931	0	0	0	0	0	0	0	7
0	0	0.011	0.272	0.072	0.015	0.63	0	0	0	0	0	0	0	7
0	0	0	0.001	0.03	0.013	0.956	0	0	0	0	0	0	0	7
0	0	0	0.01	0.017	0.011	0.962	0	0	0	0	0	0	0	7
0	0	0	0.011	0.035	0.016	0.938	0	0	0	0	0	0	0	7
0	0.623	0.29	0.087	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.005	0.025	0.011	0.959	0	0	0	0	0	0	0	7
0.03	0.947	0.022	0.001	0	0	0	0	0	0	0	0	0	0	2
0.001	0.662	0.227	0.11	0	0	0	0	0	0	0	0	0	0	2
0.003	0.783	0.178	0.036	0	0	0	0	0	0	0	0	0	0	2
0	0	0.075	0.77	0.064	0.007	0.084	0	0	0	0	0	0	0	4
0	0	0.01	0.694	0.102	0.023	0.171	0	0	0	0	0	0	0	4
0	0.001	0.175	0.798	0.018	0.001	0.007	0	0	0	0	0	0	0	4
0	0	0	0.024	0.033	0.016	0.927	0	0	0	0	0	0	0	7
0	0.003	0.144	0.705	0.048	0.003	0.097	0	0	0	0	0	0	0	4
0	0	0.003	0.295	0.092	0.03	0.58	0	0	0	0	0	0	0	7
0	0.016	0.289	0.686	0.006	0.002	0.001	0	0	0	0	0	0	0	4
0	0.467	0.387	0.146	0	0	0	0	0	0	0	0	0	0	2
0	0	0.002	0.194	0.089	0.023	0.692	0	0	0	0	0	0	0	7
0	0	0	0.027	0.059	0.023	0.891	0	0	0	0	0	0	0	7
0	0	0.038	0.848	0.06	0.005	0.049	0	0	0	0	0	0	0	4
0	0	0	0.001	0.009	0.007	0.983	0	0	0	0	0	0	0	7
0	0	0	0.003	0.021	0.015	0.961	0	0	0	0	0	0	0	7
0	0	0	0.002	0.024	0.01	0.964	0	0	0	0	0	0	0	7
0	0	0	0.006	0.031	0.008	0.955	0	0	0	0	0	0	0	7
0	0	0.06	0.75	0.072	0.009	0.109	0	0	0	0	0	0	0	4
0	0.04	0.364	0.585	0.007	0	0.004	0	0	0	0	0	0	0	4
0	0.025	0.344	0.627	0.003	0	0.001	0	0	0	0	0	0	0	4
0	0	0	0.014	0.041	0.02	0.925	0	0	0	0	0	0	0	7
0	0.001	0.192	0.785	0.013	0.002	0.007	0	0	0	0	0	0	0	4
0	0.038	0.46	0.5	0.002	0	0	0	0	0	0	0	0	0	4
0	0	0	0.059	0.065	0.018	0.858	0	0	0	0	0	0	0	7
0	0.565	0.368	0.067	0	0	0	0	0	0	0	0	0	0	2
0	0	0.13	0.846	0.014	0.001	0.009	0	0	0	0	0	0	0	4
0	0	0.002	0.101	0.099	0.029	0.769	0	0	0	0	0	0	0	7
0	0.002	0.091	0.575	0.05	0.006	0.276	0	0	0	0	0	0	0	4
0	0	0.064	0.812	0.056	0.008	0.06	0	0	0	0	0	0	0	4
0	0.001	0.079	0.809	0.045	0.006	0.06	0	0	0	0	0	0	0	4
0	0	0.002	0.131	0.061	0.015	0.791	0	0	0	0	0	0	0	7
0	0	0.003	0.098	0.08	0.021	0.798	0	0	0	0	0	0	0	7
0	0	0	0.006	0.021	0.015	0.958	0	0	0	0	0	0	0	7
0	0.012	0.323	0.657	0.007	0	0.001	0	0	0	0	0	0	0	4
0	0.243	0.486	0.269	0.001	0	0.001	0	0	0	0	0	0	0	3
0	0	0	0.004	0.031	0.016	0.949	0	0	0	0	0	0	0	7
0	0	0.053	0.806	0.057	0.008	0.076	0	0	0	0	0	0	0	4
0.004	0.882	0.104	0.01	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.061	0.08	0.03	0.829	0	0	0	0	0	0	0	7
0	0.021	0.428	0.546	0.005	0	0	0	0	0	0	0	0	0	4
0	0.705	0.255	0.04	0	0	0	0	0	0	0	0	0	0	2
0	0	0.003	0.209	0.096	0.026	0.666	0	0	0	0	0	0	0	7
0	0	0.035	0.623	0.088	0.012	0.242	0	0	0	0	0	0	0	4
0.034	0.936	0.03	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.034	0.372	0.069	0.013	0.512	0	0	0	0	0	0	0	7
0	0	0	0.017	0.023	0.01	0.95	0	0	0	0	0	0	0	7
0	0	0.023	0.793	0.094	0.01	0.08	0	0	0	0	0	0	0	4
0	0	0	0.007	0.025	0.011	0.957	0	0	0	0	0	0	0	7
0	0.017	0.235	0.707	0.016	0.003	0.022	0	0	0	0	0	0	0	4
0	0.007	0.246	0.724	0.015	0.001	0.007	0	0	0	0	0	0	0	4
0	0.073	0.438	0.488	0.001	0	0	0	0	0	0	0	0	0	4
0	0	0.142	0.841	0.01	0.001	0.006	0	0	0	0	0	0	0	4
0.001	0.623	0.322	0.054	0	0	0	0	0	0	0	0	0	0	2
0	0	0.001	0.039	0.063	0.015	0.882	0	0	0	0	0	0	0	7
0.001	0.806	0.159	0.034	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0.008	0.014	0.978	0	0	0	0	0	0	0	7
0	0.558	0.328	0.114	0	0	0	0	0	0	0	0	0	0	2
0	0.51	0.375	0.115	0	0	0	0	0	0	0	0	0	0	2
0	0.003	0.134	0.808	0.031	0.003	0.021	0	0	0	0	0	0	0	4
0	0.105	0.483	0.411	0.001	0	0	0	0	0	0	0	0	0	3
0	0	0	0.001	0.014	0.009	0.976	0	0	0	0	0	0	0	7
0	0	0.014	0.624	0.116	0.021	0.225	0	0	0	0	0	0	0	4
0	0	0	0.008	0.023	0.013	0.956	0	0	0	0	0	0	0	7
0	0	0	0.002	0.016	0.007	0.975	0	0	0	0	0	0	0	7
0	0.001	0.074	0.673	0.061	0.011	0.18	0	0	0	0	0	0	0	4
0	0	0.092	0.8	0.05	0.006	0.052	0	0	0	0	0	0	0	4
0	0.212	0.323	0.433	0.01	0.002	0.02	0	0	0	0	0	0	0	4
0	0	0.003	0.17	0.098	0.021	0.708	0	0	0	0	0	0	0	7
0	0.001	0.116	0.796	0.046	0.003	0.038	0	0	0	0	0	0	0	4
0	0	0	0.034	0.074	0.019	0.873	0	0	0	0	0	0	0	7
0	0	0	0	0.008	0.005	0.987	0	0	0	0	0	0	0	7
0	0.009	0.264	0.72	0.005	0.002	0	0	0	0	0	0	0	0	4
0	0	0.011	0.453	0.127	0.026	0.383	0	0	0	0	0	0	0	4
0	0.005	0.219	0.754	0.015	0.001	0.006	0	0	0	0	0	0	0	4
0	0	0	0.025	0.058	0.021	0.896	0	0	0	0	0	0	0	7
0	0.31	0.573	0.117	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.006	0.03	0.009	0.955	0	0	0	0	0	0	0	7
0	0.004	0.232	0.735	0.022	0	0.007	0	0	0	0	0	0	0	4
0	0.098	0.218	0.536	0.036	0.01	0.102	0	0	0	0	0	0	0	4
0	0.002	0.206	0.78	0.011	0	0.001	0	0	0	0	0	0	0	4
0	0.01	0.268	0.711	0.004	0.001	0.006	0	0	0	0	0	0	0	4
0	0	0.026	0.532	0.102	0.02	0.32	0	0	0	0	0	0	0	4
0	0.004	0.274	0.717	0.004	0.001	0	0	0	0	0	0	0	0	4
0	0	0.054	0.902	0.027	0.005	0.012	0	0	0	0	0	0	0	4
0	0.116	0.547	0.336	0.001	0	0	0	0	0	0	0	0	0	3
0.001	0.683	0.244	0.072	0	0	0	0	0	0	0	0	0	0	2
0	0.335	0.471	0.194	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.16	0.104	0.032	0.704	0	0	0	0	0	0	0	7
0	0.004	0.241	0.741	0.01	0.001	0.003	0	0	0	0	0	0	0	4
0	0.237	0.562	0.201	0	0	0	0	0	0	0	0	0	0	3
0	0.688	0.289	0.023	0	0	0	0	0	0	0	0	0	0	2
0	0	0.031	0.816	0.076	0.011	0.066	0	0	0	0	0	0	0	4
0	0	0.094	0.833	0.039	0.002	0.032	0	0	0	0	0	0	0	4
0	0	0	0.018	0.032	0.018	0.932	0	0	0	0	0	0	0	7
0	0.741	0.239	0.02	0	0	0	0	0	0	0	0	0	0	2
0.006	0.974	0.02	0	0	0	0	0	0	0	0	0	0	0	2
0	0.912	0.084	0.004	0	0	0	0	0	0	0	0	0	0	2
0	0	0.003	0.266	0.139	0.024	0.568	0	0	0	0	0	0	0	7
0	0.014	0.299	0.68	0.003	0	0.004	0	0	0	0	0	0	0	4
0	0.02	0.322	0.649	0.007	0	0.002	0	0	0	0	0	0	0	4
0	0.571	0.343	0.086	0	0	0	0	0	0	0	0	0	0	2
0	0	0.002	0.186	0.118	0.029	0.665	0	0	0	0	0	0	0	7
0	0.898	0.101	0.001	0	0	0	0	0	0	0	0	0	0	2
0	0	0.017	0.523	0.103	0.02	0.337	0	0	0	0	0	0	0	4
0	0.001	0.056	0.689	0.06	0.011	0.183	0	0	0	0	0	0	0	4
0	0	0	0.002	0.015	0.014	0.969	0	0	0	0	0	0	0	7
0	0.001	0.196	0.76	0.02	0.002	0.021	0	0	0	0	0	0	0	4
0	0	0	0.03	0.068	0.032	0.87	0	0	0	0	0	0	0	7
0	0.32	0.456	0.224	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.113	0.111	0.037	0.739	0	0	0	0	0	0	0	7
0	0	0.012	0.566	0.107	0.02	0.295	0	0	0	0	0	0	0	4
0	0	0.015	0.518	0.116	0.013	0.338	0	0	0	0	0	0	0	4
0	0.379	0.52	0.1	0.001	0	0	0	0	0	0	0	0	0	3
0	0	0	0.001	0.008	0.006	0.985	0	0	0	0	0	0	0	7
0	0.032	0.346	0.609	0.01	0	0.003	0	0	0	0	0	0	0	4
0	0.001	0.046	0.657	0.079	0.013	0.204	0	0	0	0	0	0	0	4
0	0.07	0.389	0.536	0.003	0.002	0	0	0	0	0	0	0	0	4
0	0	0.016	0.491	0.121	0.021	0.351	0	0	0	0	0	0	0	4
0	0.002	0.138	0.824	0.024	0.003	0.009	0	0	0	0	0	0	0	4
0	0	0	0	0.01	0.005	0.985	0	0	0	0	0	0	0	7
0	0.001	0.161	0.801	0.028	0.001	0.008	0	0	0	0	0	0	0	4
0	0	0.123	0.856	0.017	0.001	0.003	0	0	0	0	0	0	0	4
0	0	0	0.04	0.061	0.019	0.88	0	0	0	0	0	0	0	7
0	0	0	0.01	0.046	0.013	0.931	0	0	0	0	0	0	0	7
0	0	0	0.004	0.031	0.018	0.947	0	0	0	0	0	0	0	7
0	0.016	0.281	0.695	0.007	0	0.001	0	0	0	0	0	0	0	4
0.001	0.827	0.158	0.014	0	0	0	0	0	0	0	0	0	0	2
0	0	0.064	0.83	0.067	0.004	0.035	0	0	0	0	0	0	0	4
0	0	0	0.01	0.04	0.016	0.934	0	0	0	0	0	0	0	7
0	0	0	0	0.005	0.005	0.99	0	0	0	0	0	0	0	7
0	0	0	0.049	0.029	0.009	0.913	0	0	0	0	0	0	0	7
0.001	0.778	0.193	0.028	0	0	0	0	0	0	0	0	0	0	2
0	0.001	0.028	0.589	0.082	0.015	0.285	0	0	0	0	0	0	0	4
0	0	0.09	0.82	0.049	0.003	0.038	0	0	0	0	0	0	0	4
0	0	0	0.002	0.006	0.005	0.984	0.003	0	0	0	0	0	0	7
0	0.049	0.433	0.517	0.001	0	0	0	0	0	0	0	0	0	4
0	0.02	0.276	0.677	0.017	0.001	0.009	0	0	0	0	0	0	0	4
0	0	0	0.042	0.052	0.024	0.882	0	0	0	0	0	0	0	7
0.009	0.949	0.042	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.001	0.063	0.054	0.019	0.863	0	0	0	0	0	0	0	7
0	0.261	0.603	0.136	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.003	0.022	0.005	0.97	0	0	0	0	0	0	0	7
0	0	0	0	0.013	0.007	0.98	0	0	0	0	0	0	0	7
0	0.233	0.521	0.246	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0.017	0.056	0.017	0.91	0	0	0	0	0	0	0	7
0	0.329	0.542	0.129	0	0	0	0	0	0	0	0	0	0	3
0.002	0.797	0.178	0.023	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.018	0.032	0.016	0.934	0	0	0	0	0	0	0	7
0	0	0	0.039	0.055	0.023	0.883	0	0	0	0	0	0	0	7
0	0.004	0.133	0.758	0.041	0.003	0.061	0	0	0	0	0	0	0	4
0	0	0	0.075	0.094	0.024	0.807	0	0	0	0	0	0	0	7
0	0	0	0.002	0.012	0.013	0.973	0	0	0	0	0	0	0	7
0	0	0.001	0.058	0.043	0.018	0.88	0	0	0	0	0	0	0	7
0	0	0.012	0.322	0.116	0.026	0.524	0	0	0	0	0	0	0	7
0	0	0	0.002	0.007	0.009	0.98	0.001	0.001	0	0	0	0	0	7
0	0	0	0.001	0.003	0.001	0.994	0	0	0.001	0	0	0	0	7
0	0.001	0.008	0.291	0.097	0.038	0.565	0	0	0	0	0	0	0	7
0	0.001	0.043	0.711	0.076	0.013	0.156	0	0	0	0	0	0	0	4
0	0.49	0.424	0.086	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.033	0.049	0.01	0.908	0	0	0	0	0	0	0	7
0	0.007	0.169	0.749	0.037	0.006	0.032	0	0	0	0	0	0	0	4
0.001	0.819	0.17	0.01	0	0	0	0	0	0	0	0	0	0	2
0	0	0.002	0.076	0.065	0.015	0.842	0	0	0	0	0	0	0	7
0	0	0.001	0.023	0.038	0.015	0.923	0	0	0	0	0	0	0	7
0.002	0.716	0.228	0.053	0.001	0	0	0	0	0	0	0	0	0	2
0	0	0.063	0.874	0.04	0.006	0.017	0	0	0	0	0	0	0	4
0	0.006	0.202	0.777	0.011	0	0.004	0	0	0	0	0	0	0	4
0	0	0.001	0.114	0.076	0.017	0.792	0	0	0	0	0	0	0	7
0	0	0	0.158	0.108	0.023	0.711	0	0	0	0	0	0	0	7
0	0.001	0.14	0.825	0.022	0.003	0.009	0	0	0	0	0	0	0	4
0	0	0	0.031	0.046	0.014	0.909	0	0	0	0	0	0	0	7
0	0.264	0.37	0.363	0.001	0.001	0.001	0	0	0	0	0	0	0	3
0	0	0	0	0.004	0.005	0.991	0	0	0	0	0	0	0	7
0.839	0.161	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.037	0.582	0.381	0	0	0	0	0	0	0	0	0	0	3
0.12	0.866	0.014	0	0	0	0	0	0	0	0	0	0	0	2
0.003	0.71	0.207	0.078	0.002	0	0	0	0	0	0	0	0	0	2
0	0	0	0.012	0.04	0.023	0.925	0	0	0	0	0	0	0	7
0	0	0	0.043	0.072	0.025	0.86	0	0	0	0	0	0	0	7
0	0	0	0.017	0.045	0.016	0.922	0	0	0	0	0	0	0	7
0	0	0	0.002	0.008	0.002	0.988	0	0	0	0	0	0	0	7
0	0.025	0.285	0.658	0.02	0.001	0.011	0	0	0	0	0	0	0	4
0	0	0.003	0.167	0.088	0.02	0.722	0	0	0	0	0	0	0	7
0	0.001	0.049	0.658	0.073	0.012	0.207	0	0	0	0	0	0	0	4
0	0.019	0.287	0.681	0.008	0.001	0.004	0	0	0	0	0	0	0	4
0	0.037	0.369	0.583	0.008	0.001	0.002	0	0	0	0	0	0	0	4
0	0.034	0.431	0.533	0.002	0	0	0	0	0	0	0	0	0	4
0	0.305	0.43	0.264	0.001	0	0	0	0	0	0	0	0	0	3
0	0	0.02	0.612	0.088	0.021	0.259	0	0	0	0	0	0	0	4
0	0	0.021	0.645	0.095	0.012	0.227	0	0	0	0	0	0	0	4
0	0	0	0.007	0.027	0.014	0.952	0	0	0	0	0	0	0	7
0.003	0.948	0.048	0.001	0	0	0	0	0	0	0	0	0	0	2
0	0	0.051	0.774	0.063	0.012	0.1	0	0	0	0	0	0	0	4
0	0	0	0.001	0.019	0.013	0.967	0	0	0	0	0	0	0	7
0	0	0.094	0.864	0.032	0.002	0.008	0	0	0	0	0	0	0	4
0	0.002	0.075	0.784	0.06	0.007	0.072	0	0	0	0	0	0	0	4
0	0	0	0.09	0.068	0.02	0.822	0	0	0	0	0	0	0	7
0	0.119	0.527	0.354	0	0	0	0	0	0	0	0	0	0	3
0	0.001	0.041	0.559	0.077	0.01	0.312	0	0	0	0	0	0	0	4
0	0.012	0.276	0.694	0.013	0.002	0.003	0	0	0	0	0	0	0	4
0	0	0.001	0.068	0.03	0.015	0.886	0	0	0	0	0	0	0	7
0	0.016	0.379	0.603	0.001	0.001	0	0	0	0	0	0	0	0	4
0.001	0.97	0.029	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.075	0.051	0.017	0.857	0	0	0	0	0	0	0	7
0	0	0	0.039	0.08	0.023	0.858	0	0	0	0	0	0	0	7
0	0	0.014	0.328	0.096	0.014	0.548	0	0	0	0	0	0	0	7
0	0.004	0.159	0.797	0.025	0.003	0.012	0	0	0	0	0	0	0	4
0	0	0	0	0	0.001	0.997	0.001	0.001	0	0	0	0	0	7
0	0.009	0.253	0.724	0.008	0.002	0.004	0	0	0	0	0	0	0	4
0	0	0	0.043	0.075	0.024	0.858	0	0	0	0	0	0	0	7
0	0	0.097	0.819	0.046	0.004	0.034	0	0	0	0	0	0	0	4
0	0	0	0.006	0.027	0.014	0.953	0	0	0	0	0	0	0	7
0	0	0	0.017	0.027	0.009	0.947	0	0	0	0	0	0	0	7
0	0.011	0.33	0.653	0.006	0	0	0	0	0	0	0	0	0	4
0	0	0	0.095	0.1	0.021	0.784	0	0	0	0	0	0	0	7
0	0	0	0.003	0.01	0.011	0.975	0.001	0	0	0	0	0	0	7
0	0	0	0.009	0.05	0.019	0.922	0	0	0	0	0	0	0	7
